Dataset,Model,Method,K,N,p_null_mean,pct_base_below_pnull,winrate_prob_raw,winrate_norm_nrc,winrate_decileZ_nrc,note
HOME CREDIT,M2,SHAP,31,2000,0.0767549911631504,37.45,0.6425,0.8590285110876452,0.4477296726504752,
HOME CREDIT,M2,LIME,31,2000,0.0767549911631504,37.45,0.643,0.7418162618796198,0.46884899683210135,
HOME CREDIT,M3,SHAP,31,2000,0.0767549911631504,37.45,0.6425,0.8590285110876452,0.4477296726504752,
HOME CREDIT,M3,LIME,31,2000,0.0767549911631504,37.45,0.643,0.7418162618796198,0.46884899683210135,
HOME CREDIT,M4,SHAP,31,2000,0.07970914478215854,38.7,0.6455,0.8901333333333333,0.44533333333333336,
HOME CREDIT,M4,LIME,31,2000,0.07970914478215854,38.7,0.6465,0.7744,0.4656,
HOME CREDIT,M5,SHAP,31,2000,0.08144819611404092,38.5,0.6335,0.8734042553191489,0.5074468085106383,
HOME CREDIT,M5,LIME,31,2000,0.08144819611404092,38.5,0.6575,0.7686170212765957,0.48404255319148937,
TAIWAN,M2,SHAP,7,2000,0.21164342993404717,42.6,0.576,0.7973251028806584,0.5354938271604939,
TAIWAN,M2,LIME,7,2000,0.21164342993404717,42.6,0.5985,0.7736625514403292,0.5447530864197531,
TAIWAN,M3,SHAP,7,2000,0.21164342993404717,42.6,0.576,0.7973251028806584,0.5354938271604939,
TAIWAN,M3,LIME,7,2000,0.21164342993404717,42.6,0.5985,0.7736625514403292,0.5447530864197531,
TAIWAN,M4,SHAP,7,2000,0.20975175917358138,43.4,0.5745,0.8208802456499488,0.48311156601842375,
TAIWAN,M4,LIME,7,2000,0.20975175917358138,43.4,0.6145,0.7763561924257932,0.4872057318321392,
TAIWAN,M5,SHAP,7,2000,0.21338326459098608,43.05,0.5785,0.815748841996912,0.514668039114771,
TAIWAN,M5,LIME,7,2000,0.21338326459098608,43.05,0.6035,0.773031394750386,0.49047864127637675,
GMSC,M2,SHAP,3,2000,0.0562022600909695,34.35,0.7225,0.7841409691629956,0.4708149779735683,
GMSC,M2,LIME,3,2000,0.0562022600909695,34.35,0.6615,0.5870044052863436,0.44383259911894274,
GMSC,M3,SHAP,3,2000,0.0562022600909695,34.35,0.7225,0.7841409691629956,0.4708149779735683,
GMSC,M3,LIME,3,2000,0.0562022600909695,34.35,0.6615,0.5870044052863436,0.44383259911894274,
GMSC,M4,SHAP,3,2000,0.06637235823902302,34.35,0.7075,0.7953056768558951,0.48034934497816595,
GMSC,M4,LIME,3,2000,0.06637235823902302,34.35,0.646,0.5791484716157205,0.45087336244541487,
GMSC,M5,SHAP,3,2000,0.06659185462002642,34.35,0.7085,0.7948164146868251,0.5043196544276458,
GMSC,M5,LIME,3,2000,0.06659185462002642,34.35,0.6475,0.5815334773218143,0.4724622030237581,
