DGP,Intercept,Strength,Seed,BaseRate,FracHit,Metric,USFG,USFG_gap_raw
logistic,-3.6,0.0,0,0.08129217085693011,0.0,Comp_prob,0.04186389106174398,0.005338415860466329
logistic,-3.6,0.0,0,0.08129217085693011,0.0,NRC,-0.012665227645598685,-0.0129187598838032
logistic,-3.6,0.0,0,0.08129217085693011,0.0,decileZ(Comp),0.04061445741798773,0.04061445741798773
logistic,-3.6,0.0,0,0.08129217085693011,0.0,decileZ(NRC),0.04903484122423255,0.04903484122423255
logistic,-3.6,0.0,0,0.08129217085693011,0.0,logit-frac,-0.06765378930262715,-0.10731789028818339
logistic,-3.6,0.0,1,0.14189518765934517,0.0,Comp_prob,0.014517276847354777,0.003299268208927522
logistic,-3.6,0.0,1,0.14189518765934517,0.0,NRC,-0.0013933926977624726,-0.002019714068612455
logistic,-3.6,0.0,1,0.14189518765934517,0.0,decileZ(Comp),-0.051916385618155814,-0.051916385618155814
logistic,-3.6,0.0,1,0.14189518765934517,0.0,decileZ(NRC),0.02761327004246025,0.02761327004246025
logistic,-3.6,0.0,1,0.14189518765934517,0.0,logit-frac,-0.07851935532632338,-0.14806137306499145
logistic,-3.6,0.0,2,0.09516283055619788,0.0,Comp_prob,0.0036332985092132138,0.0005850650199886454
logistic,-3.6,0.0,2,0.09516283055619788,0.0,NRC,-0.0015277001169247855,-0.0014422202709605259
logistic,-3.6,0.0,2,0.09516283055619788,0.0,decileZ(Comp),0.014891621565404044,0.014891621565404044
logistic,-3.6,0.0,2,0.09516283055619788,0.0,decileZ(NRC),-0.005550775320446191,-0.005550775320446191
logistic,-3.6,0.0,2,0.09516283055619788,0.0,logit-frac,-0.033391935671943256,-0.046494351710387516
logistic,-3.6,0.0,3,0.10554780207283503,0.0,Comp_prob,0.010568967041226436,0.0018410536933457927
logistic,-3.6,0.0,3,0.10554780207283503,0.0,NRC,0.029348539492334326,0.032249716603605094
logistic,-3.6,0.0,3,0.10554780207283503,0.0,decileZ(Comp),0.01651848591235942,0.01651848591235942
logistic,-3.6,0.0,3,0.10554780207283503,0.0,decileZ(NRC),0.010475909928566125,0.010475909928566125
logistic,-3.6,0.0,3,0.10554780207283503,0.0,logit-frac,-0.001515542405038458,-0.0022614863309113886
logistic,-3.6,0.0,4,0.06555034348053138,0.0,Comp_prob,0.07298797331578469,0.00710712090773347
logistic,-3.6,0.0,4,0.06555034348053138,0.0,NRC,0.02584570093273471,0.030411044819757094
logistic,-3.6,0.0,4,0.06555034348053138,0.0,decileZ(Comp),0.024392783878179787,0.024392783878179787
logistic,-3.6,0.0,4,0.06555034348053138,0.0,decileZ(NRC),0.04972631931326256,0.04972631931326256
logistic,-3.6,0.0,4,0.06555034348053138,0.0,logit-frac,-0.03131776600792052,-0.0525173207968056
logistic,-3.6,0.0,5,0.11981368891943925,0.0,Comp_prob,0.027877835833803946,0.005488189576881505
logistic,-3.6,0.0,5,0.11981368891943925,0.0,NRC,0.12665879657792856,0.1139018564252422
logistic,-3.6,0.0,5,0.11981368891943925,0.0,decileZ(Comp),-0.06677317586633007,-0.06677317586633007
logistic,-3.6,0.0,5,0.11981368891943925,0.0,decileZ(NRC),0.11290809544344867,0.11290809544344867
logistic,-3.6,0.0,5,0.11981368891943925,0.0,logit-frac,0.03851119714208428,0.04401769780142106
logistic,-3.6,0.0,6,0.0992556011021959,0.0,Comp_prob,0.07351223421791094,0.011932085889744183
logistic,-3.6,0.0,6,0.0992556011021959,0.0,NRC,-0.024366073137501335,-0.029763408278052017
logistic,-3.6,0.0,6,0.0992556011021959,0.0,decileZ(Comp),-0.007475012539913832,-0.007475012539913832
logistic,-3.6,0.0,6,0.0992556011021959,0.0,decileZ(NRC),-0.006981186338876245,-0.006981186338876245
logistic,-3.6,0.0,6,0.0992556011021959,0.0,logit-frac,-0.036187226336067385,-0.06560518266097137
logistic,-3.6,0.0,7,0.09430248202470216,0.0,Comp_prob,-0.007960566430779852,-0.0012407337992808576
logistic,-3.6,0.0,7,0.09430248202470216,0.0,NRC,-0.04314029195296579,-0.04885965521237734
logistic,-3.6,0.0,7,0.09430248202470216,0.0,decileZ(Comp),-0.03060056363795043,-0.03060056363795043
logistic,-3.6,0.0,7,0.09430248202470216,0.0,decileZ(NRC),0.010120376621240892,0.010120376621240892
logistic,-3.6,0.0,7,0.09430248202470216,0.0,logit-frac,-0.020088196981934335,-0.03186341938118842
logistic,-3.6,0.0,8,0.09055025507663557,0.0,Comp_prob,0.05373852664492724,0.007896911240746887
logistic,-3.6,0.0,8,0.09055025507663557,0.0,NRC,0.015776536489285686,0.0221119196839904
logistic,-3.6,0.0,8,0.09055025507663557,0.0,decileZ(Comp),-0.06818526905032707,-0.06818526905032707
logistic,-3.6,0.0,8,0.09055025507663557,0.0,decileZ(NRC),-0.0158209255752169,-0.0158209255752169
logistic,-3.6,0.0,8,0.09055025507663557,0.0,logit-frac,0.048305388493245456,0.08201268173421317
logistic,-3.6,0.0,9,0.12476736186032672,0.0,Comp_prob,-0.02331957728692057,-0.0046772336901042405
logistic,-3.6,0.0,9,0.12476736186032672,0.0,NRC,0.06411505260643127,0.10032273062965724
logistic,-3.6,0.0,9,0.12476736186032672,0.0,decileZ(Comp),0.042648327046572926,0.042648327046572926
logistic,-3.6,0.0,9,0.12476736186032672,0.0,decileZ(NRC),-0.013422330408178827,-0.013422330408178827
logistic,-3.6,0.0,9,0.12476736186032672,0.0,logit-frac,0.013173405063802627,0.024115121269831064
logistic,-3.6,0.0,10,0.13368255940986173,0.0,Comp_prob,-0.11067406486695021,-0.024987178286317913
logistic,-3.6,0.0,10,0.13368255940986173,0.0,NRC,-0.03153221927543959,-0.04437711255026555
logistic,-3.6,0.0,10,0.13368255940986173,0.0,decileZ(Comp),-0.09104343454911323,-0.09104343454911323
logistic,-3.6,0.0,10,0.13368255940986173,0.0,decileZ(NRC),-0.02765404932702281,-0.02765404932702281
logistic,-3.6,0.0,10,0.13368255940986173,0.0,logit-frac,-0.002403374099830763,-0.0040718267761435945
logistic,-3.6,0.0,11,0.14990634488766383,0.0,Comp_prob,-0.08954763959233403,-0.02166237861953732
logistic,-3.6,0.0,11,0.14990634488766383,0.0,NRC,-0.01131918726769019,-0.023374790987054084
logistic,-3.6,0.0,11,0.14990634488766383,0.0,decileZ(Comp),-0.08430187326140619,-0.08430187326140619
logistic,-3.6,0.0,11,0.14990634488766383,0.0,decileZ(NRC),0.023628548568762807,0.023628548568762807
logistic,-3.6,0.0,11,0.14990634488766383,0.0,logit-frac,0.04181664506313632,0.0807668710302124
logistic,-3.6,0.2,0,0.12061993718126705,0.1008,Comp_prob,0.04915369011323729,0.009570250663170132
logistic,-3.6,0.2,0,0.12061993718126705,0.1008,NRC,0.06314217561531699,0.09229472847997933
logistic,-3.6,0.2,0,0.12061993718126705,0.1008,decileZ(Comp),0.041502349027717204,0.041502349027717204
logistic,-3.6,0.2,0,0.12061993718126705,0.1008,decileZ(NRC),0.17038123025039392,0.17038123025039392
logistic,-3.6,0.2,0,0.12061993718126705,0.1008,logit-frac,-0.01630012192815607,-0.03234556903242003
logistic,-3.6,0.2,1,0.0939737357622544,0.1004,Comp_prob,0.03479847138509586,0.005337162822797781
logistic,-3.6,0.2,1,0.0939737357622544,0.1004,NRC,0.0916383880142352,0.12692804626087706
logistic,-3.6,0.2,1,0.0939737357622544,0.1004,decileZ(Comp),0.04444706469600139,0.04444706469600139
logistic,-3.6,0.2,1,0.0939737357622544,0.1004,decileZ(NRC),0.17234321719281875,0.17234321719281875
logistic,-3.6,0.2,1,0.0939737357622544,0.1004,logit-frac,0.1195068757163726,0.19543589171086695
logistic,-3.6,0.2,2,0.12626012979354445,0.1004,Comp_prob,0.11643803098026206,0.0231488381312053
logistic,-3.6,0.2,2,0.12626012979354445,0.1004,NRC,0.13692500796553933,0.16586066800745058
logistic,-3.6,0.2,2,0.12626012979354445,0.1004,decileZ(Comp),0.028965436679953944,0.028965436679953944
logistic,-3.6,0.2,2,0.12626012979354445,0.1004,decileZ(NRC),0.23603407692914072,0.23603407692914072
logistic,-3.6,0.2,2,0.12626012979354445,0.1004,logit-frac,0.05561206102534458,0.0772257746871422
logistic,-3.6,0.2,3,0.13244156878810703,0.1072,Comp_prob,0.04813744237084062,0.010204163255014317
logistic,-3.6,0.2,3,0.13244156878810703,0.1072,NRC,0.05112506942038922,0.11295136423721686
logistic,-3.6,0.2,3,0.13244156878810703,0.1072,decileZ(Comp),0.048743925239135,0.048743925239135
logistic,-3.6,0.2,3,0.13244156878810703,0.1072,decileZ(NRC),0.1032361998022335,0.1032361998022335
logistic,-3.6,0.2,3,0.13244156878810703,0.1072,logit-frac,0.07315765510853871,0.13729583124408218
logistic,-3.6,0.2,4,0.1650705065233422,0.1088,Comp_prob,0.13159792177754182,0.03330646438429506
logistic,-3.6,0.2,4,0.1650705065233422,0.1088,NRC,0.020904502664136713,0.0461645720586491
logistic,-3.6,0.2,4,0.1650705065233422,0.1088,decileZ(Comp),0.08417933312234169,0.08417933312234167
logistic,-3.6,0.2,4,0.1650705065233422,0.1088,decileZ(NRC),0.15189046921137803,0.15189046921137803
logistic,-3.6,0.2,4,0.1650705065233422,0.1088,logit-frac,0.0677249106050808,0.1240255684063436
logistic,-3.6,0.2,5,0.1029202643886678,0.1104,Comp_prob,0.0236259691647557,0.003911244107134178
logistic,-3.6,0.2,5,0.1029202643886678,0.1104,NRC,0.09837135270262314,0.15613565134739593
logistic,-3.6,0.2,5,0.1029202643886678,0.1104,decileZ(Comp),0.00139587632421085,0.00139587632421085
logistic,-3.6,0.2,5,0.1029202643886678,0.1104,decileZ(NRC),0.1383793314422228,0.1383793314422228
logistic,-3.6,0.2,5,0.1029202643886678,0.1104,logit-frac,0.09505168436608231,0.17209949971979932
logistic,-3.6,0.2,6,0.12421875501348911,0.096,Comp_prob,0.07637346945777711,0.014825940763407514
logistic,-3.6,0.2,6,0.12421875501348911,0.096,NRC,0.14747007065385476,0.20834781561845295
logistic,-3.6,0.2,6,0.12421875501348911,0.096,decileZ(Comp),0.079152970547995,0.079152970547995
logistic,-3.6,0.2,6,0.12421875501348911,0.096,decileZ(NRC),0.2414062032946987,0.2414062032946987
logistic,-3.6,0.2,6,0.12421875501348911,0.096,logit-frac,-0.005097438148032963,-0.010235464867108246
logistic,-3.6,0.2,7,0.17019571722630877,0.0992,Comp_prob,0.1341331479613022,0.03456505953011561
logistic,-3.6,0.2,7,0.17019571722630877,0.0992,NRC,0.036544561509224686,0.07564133176153742
logistic,-3.6,0.2,7,0.17019571722630877,0.0992,decileZ(Comp),0.16758752930196447,0.16758752930196447
logistic,-3.6,0.2,7,0.17019571722630877,0.0992,decileZ(NRC),0.12508582258014492,0.12508582258014492
logistic,-3.6,0.2,7,0.17019571722630877,0.0992,logit-frac,0.035720293286652556,0.08284340741761853
logistic,-3.6,0.2,8,0.12728251403496182,0.0984,Comp_prob,0.0743709996761978,0.014998231569958914
logistic,-3.6,0.2,8,0.12728251403496182,0.0984,NRC,0.09964633917523862,0.1695523935866754
logistic,-3.6,0.2,8,0.12728251403496182,0.0984,decileZ(Comp),0.10246730688276791,0.10246730688276791
logistic,-3.6,0.2,8,0.12728251403496182,0.0984,decileZ(NRC),0.1293611508692471,0.1293611508692471
logistic,-3.6,0.2,8,0.12728251403496182,0.0984,logit-frac,0.05234641018351388,0.10436402520808585
logistic,-3.6,0.2,9,0.08128440568176115,0.106,Comp_prob,0.0006351363859968181,8.187247028836747e-05
logistic,-3.6,0.2,9,0.08128440568176115,0.106,NRC,0.04721882005787754,0.06312918218136299
logistic,-3.6,0.2,9,0.08128440568176115,0.106,decileZ(Comp),0.026455506561523255,0.026455506561523255
logistic,-3.6,0.2,9,0.08128440568176115,0.106,decileZ(NRC),0.11585970089066186,0.11585970089066186
logistic,-3.6,0.2,9,0.08128440568176115,0.106,logit-frac,-0.055613293942563556,-0.10491419593120077
logistic,-3.6,0.2,10,0.09837004503038883,0.1068,Comp_prob,0.07304536664747419,0.01184679617301386
logistic,-3.6,0.2,10,0.09837004503038883,0.1068,NRC,0.1826797862410564,0.22214023132093585
logistic,-3.6,0.2,10,0.09837004503038883,0.1068,decileZ(Comp),0.01460394875783135,0.014603948757831348
logistic,-3.6,0.2,10,0.09837004503038883,0.1068,decileZ(NRC),0.2522264391114798,0.2522264391114798
logistic,-3.6,0.2,10,0.09837004503038883,0.1068,logit-frac,0.12489861863299216,0.18337221672039128
logistic,-3.6,0.2,11,0.09008307062344059,0.0944,Comp_prob,-0.004155079497575693,-0.0005906610068599147
logistic,-3.6,0.2,11,0.09008307062344059,0.0944,NRC,0.04453952897465075,0.04223508579531188
logistic,-3.6,0.2,11,0.09008307062344059,0.0944,decileZ(Comp),-0.003736246963397607,-0.003736246963397607
logistic,-3.6,0.2,11,0.09008307062344059,0.0944,decileZ(NRC),0.15296817893292183,0.15296817893292183
logistic,-3.6,0.2,11,0.09008307062344059,0.0944,logit-frac,0.018266293463460516,0.023609487432693643
logistic,-3.6,0.4,0,0.16121152766615937,0.2048,Comp_prob,0.18508102506751314,0.045126673025697894
logistic,-3.6,0.4,0,0.16121152766615937,0.2048,NRC,0.1342133835695552,0.40736529510133823
logistic,-3.6,0.4,0,0.16121152766615937,0.2048,decileZ(Comp),0.13423879973700775,0.13423879973700775
logistic,-3.6,0.4,0,0.16121152766615937,0.2048,decileZ(NRC),0.21330632081865467,0.21330632081865467
logistic,-3.6,0.4,0,0.16121152766615937,0.2048,logit-frac,0.1632217013277744,0.351539900622924
logistic,-3.6,0.4,1,0.08957546805724954,0.2064,Comp_prob,0.13344501944017625,0.018519441328399923
logistic,-3.6,0.4,1,0.08957546805724954,0.2064,NRC,0.10874196300327967,0.20081947871796013
logistic,-3.6,0.4,1,0.08957546805724954,0.2064,decileZ(Comp),-0.05954589207900848,-0.05954589207900848
logistic,-3.6,0.4,1,0.08957546805724954,0.2064,decileZ(NRC),0.22963667336271576,0.22963667336271576
logistic,-3.6,0.4,1,0.08957546805724954,0.2064,logit-frac,-0.02533434098043582,-0.05105350392919639
logistic,-3.6,0.4,2,0.07894228481167327,0.2116,Comp_prob,0.020816797257493354,0.002451649275635702
logistic,-3.6,0.4,2,0.07894228481167327,0.2116,NRC,0.21786647179498775,0.23812630679192104
logistic,-3.6,0.4,2,0.07894228481167327,0.2116,decileZ(Comp),0.01288068514035718,0.01288068514035718
