Metric,DGP,Strength,true_gap,power,n
Comp_prob,logistic,0.2,0.051343978493033716,0.0,25
Comp_prob,logistic,0.4,0.09890882101739987,0.0,25
Comp_prob,logistic,0.6,0.15750892369546268,0.0,25
Comp_prob,logistic,0.8,0.21876870368788975,0.0,25
Comp_prob,logistic,1.0,0.2844206434199277,0.0,25
Comp_prob,nonlinear,0.2,0.01911238500868702,0.0,25
Comp_prob,nonlinear,0.4,0.0350554308247627,0.0,25
Comp_prob,nonlinear,0.6,0.05470692253149086,0.0,25
Comp_prob,nonlinear,0.8,0.07975311565925612,0.0,25
Comp_prob,nonlinear,1.0,0.1040806239104183,0.04,25
NRC,logistic,0.2,0.051610687688116635,0.16,25
NRC,logistic,0.4,0.08136391593115806,0.24,25
NRC,logistic,0.6,0.140889097011352,0.76,25
NRC,logistic,0.8,0.16560050504818535,0.8,25
NRC,logistic,1.0,0.18862332283213348,0.88,25
NRC,nonlinear,0.2,0.008974581753803309,0.0,25
NRC,nonlinear,0.4,0.026334551055996105,0.0,25
NRC,nonlinear,0.6,0.032593206012249194,0.0,25
NRC,nonlinear,0.8,0.04473137644587716,0.12,25
NRC,nonlinear,1.0,0.05828117978991238,0.08,25
decileZ(Comp),logistic,0.2,0.035813611582046045,0.04,25
decileZ(Comp),logistic,0.4,0.06763015798101665,0.0,25
decileZ(Comp),logistic,0.6,0.10181462629487262,0.04,25
decileZ(Comp),logistic,0.8,0.13238284296691188,0.0,25
decileZ(Comp),logistic,1.0,0.16137800553916512,0.0,25
decileZ(Comp),nonlinear,0.2,0.016873867582570926,0.0,25
decileZ(Comp),nonlinear,0.4,0.023757394948492272,0.0,25
decileZ(Comp),nonlinear,0.6,0.03504946109411348,0.0,25
decileZ(Comp),nonlinear,0.8,0.04141243198766575,0.0,25
decileZ(Comp),nonlinear,1.0,0.053992654021454714,0.0,25
decileZ(NRC),logistic,0.2,0.16091395179322757,0.32,25
decileZ(NRC),logistic,0.4,0.252851979002081,0.92,25
decileZ(NRC),logistic,0.6,0.36333328601775006,1.0,25
decileZ(NRC),logistic,0.8,0.4572280480164781,1.0,25
decileZ(NRC),logistic,1.0,0.550801235266228,1.0,25
decileZ(NRC),nonlinear,0.2,0.026770189489926263,0.0,25
decileZ(NRC),nonlinear,0.4,0.061246762259156984,0.0,25
decileZ(NRC),nonlinear,0.6,0.08718711250124174,0.08,25
decileZ(NRC),nonlinear,0.8,0.13725275505882997,0.52,25
decileZ(NRC),nonlinear,1.0,0.16453344652418975,0.64,25
logit-frac,logistic,0.2,0.05650573148829635,0.08,25
logit-frac,logistic,0.4,0.09779513698416245,0.48,25
logit-frac,logistic,0.6,0.14092346267061737,0.72,25
logit-frac,logistic,0.8,0.16387393646810167,0.76,25
logit-frac,logistic,1.0,0.2067641940697488,0.96,25
logit-frac,nonlinear,0.2,0.0013900614355730927,0.0,25
logit-frac,nonlinear,0.4,0.023984669982705657,0.0,25
logit-frac,nonlinear,0.6,0.026017016813013116,0.0,25
logit-frac,nonlinear,0.8,0.045757204602022726,0.2,25
logit-frac,nonlinear,1.0,0.04945751033210381,0.12,25
