Dataset,Model,Method,Component,USFG_decileZ_NRC,CI95_low,CI95_high,CI_excludes_0,MannWhitney_p,rank_biserial,n_Q1,n_Q4,n_valid,Degenerate,p_FDR,Sig_FDR,floor,MDE,abs_USFG,decision_rule_NB6,Verdict,above_floor,above_MDE
HOME CREDIT,M2,SHAP,epistemic,,,,False,,,1894,1894,1894,True,,False,0.03873613019654433,0.2751453595749029,,False,N/A - component is structurally zero,,
HOME CREDIT,M2,SHAP,aleatoric,-0.0311290541086068,-0.1627761452291798,0.1007707982451873,False,0.70540508995081,0.014189321511866,474,474,1894,False,0.7389958085198961,False,0.03873613019654433,0.2751453595749029,0.0311290541086068,False,below detection floor - not distinguishable from zero,0.0,0.0
HOME CREDIT,M2,SHAP,intra,,,,False,,,1894,1894,1894,True,,False,0.03873613019654433,0.2751453595749029,,False,N/A - component is structurally zero,,
HOME CREDIT,M2,SHAP,inter,,,,False,,,1894,1894,1894,True,,False,0.03873613019654433,0.2751453595749029,,False,N/A - component is structurally zero,,
HOME CREDIT,M2,LIME,epistemic,,,,False,,,1894,1894,1894,True,,False,0.03873613019654433,0.2751453595749029,,False,N/A - component is structurally zero,,
HOME CREDIT,M2,LIME,aleatoric,-0.0442691182553564,-0.1826321649954867,0.0932872925986085,False,0.0001574350678381,0.141804198045185,474,474,1894,False,0.0004329464365549,True,0.03873613019654433,0.2751453595749029,0.0442691182553564,False,above floor but below MDE - inconclusive,1.0,0.0
HOME CREDIT,M2,LIME,intra,,,,False,,,1894,1894,1894,True,,False,0.03873613019654433,0.2751453595749029,,False,N/A - component is structurally zero,,
HOME CREDIT,M2,LIME,inter,,,,False,,,1894,1894,1894,True,,False,0.03873613019654433,0.2751453595749029,,False,N/A - component is structurally zero,,
HOME CREDIT,M3,SHAP,epistemic,-0.0612455841724191,-0.208354181182243,0.0856662783226038,False,0.3238668795393589,0.0370222008581245,474,474,1894,False,0.381700250885673,False,0.03873613019654433,0.2751453595749029,0.0612455841724191,False,above floor but below MDE - inconclusive,1.0,0.0
HOME CREDIT,M3,SHAP,aleatoric,-0.024974238129958,-0.1555023534593939,0.0924256256655964,False,0.6398228617308654,0.0175630685965568,474,474,1894,False,0.6922673585940512,False,0.03873613019654433,0.2751453595749029,0.024974238129958,False,below detection floor - not distinguishable from zero,0.0,0.0
HOME CREDIT,M3,SHAP,intra,-0.0612455841724191,-0.208354181182243,0.0856662783226038,False,0.3238668795393589,0.0370222008581245,474,474,1894,False,0.381700250885673,False,0.03873613019654433,0.2751453595749029,0.0612455841724191,False,above floor but below MDE - inconclusive,1.0,0.0
HOME CREDIT,M3,SHAP,inter,,,,False,,,1894,1894,1894,True,,False,0.03873613019654433,0.2751453595749029,,False,N/A - component is structurally zero,,
HOME CREDIT,M3,LIME,epistemic,-0.0877614399377205,-0.211961073939352,0.0473266069113399,False,0.0015079991347375,0.1190692374797486,474,474,1894,False,0.0031102482153961,True,0.03873613019654433,0.2751453595749029,0.0877614399377205,False,above floor but below MDE - inconclusive,1.0,0.0
HOME CREDIT,M3,LIME,aleatoric,-0.0417523288901612,-0.1737119493841458,0.0841906888384411,False,0.0001706800795685,0.1410475529206502,474,474,1894,False,0.000450595410061,True,0.03873613019654433,0.2751453595749029,0.0417523288901612,False,above floor but below MDE - inconclusive,1.0,0.0
HOME CREDIT,M3,LIME,intra,-0.0877614399377205,-0.211961073939352,0.0473266069113399,False,0.0015079991347375,0.1190692374797486,474,474,1894,False,0.0031102482153961,True,0.03873613019654433,0.2751453595749029,0.0877614399377205,False,above floor but below MDE - inconclusive,1.0,0.0
HOME CREDIT,M3,LIME,inter,,,,False,,,1894,1894,1894,True,,False,0.03873613019654433,0.2751453595749029,,False,N/A - component is structurally zero,,
HOME CREDIT,M4,SHAP,epistemic,-0.0322867156425228,-0.176050636789731,0.1077158879107685,False,0.0073653571772852,0.1010951941480535,469,469,1875,False,0.013138204694617,True,0.03873613019654433,0.2751453595749029,0.0322867156425228,False,below detection floor - not distinguishable from zero,0.0,0.0
HOME CREDIT,M4,SHAP,aleatoric,0.0113201762181409,-0.1043928550173527,0.1252374512531809,False,2.478884612291799e-05,0.1590691077054569,469,469,1875,False,7.436653836875397e-05,True,0.03873613019654433,0.2751453595749029,0.0113201762181409,False,below detection floor - not distinguishable from zero,0.0,0.0
