Dataset,Variant,Method,Model,K,Comp,Suff,CompRandom,SuffRandom,Comp_beats_random
HOME CREDIT,prob,SHAP,M1,10,0.025387650805991143,0.0020052564195357264,0.00039501780329396753,0.029679381238387578,True
HOME CREDIT,prob,SHAP,M1,21,0.03178194803092629,-0.0027730855156551117,0.0010291514964192174,0.023801284414024848,True
HOME CREDIT,prob,SHAP,M1,31,0.03503683177265338,-0.005440796073526144,0.0032578397437846435,0.018784073285649357,True
HOME CREDIT,prob,SHAP,M1,42,0.03521499728097115,-0.0033900602161884307,0.006734830336597497,0.013851435726224735,True
HOME CREDIT,prob,SHAP,M1,52,0.03431741350598168,-0.002370054411701858,0.011492369923071238,0.010014883157466101,True
HOME CREDIT,prob,SHAP,M2,10,0.021787320005940275,-0.005074272118217777,-0.0002445678756839698,0.024006359259788043,True
HOME CREDIT,prob,SHAP,M2,21,0.027040248824516312,-0.006236216715944465,-0.0005435033920621208,0.018964843665141246,True
HOME CREDIT,prob,SHAP,M2,31,0.026060556219425053,-0.0011030861043254845,0.0013975661064196175,0.014193083793128608,True
HOME CREDIT,prob,SHAP,M2,42,0.026441661417018623,5.022897775052115e-05,0.003969844457638146,0.009674066857328398,True
HOME CREDIT,prob,SHAP,M2,52,0.026969344950513913,0.000650912685028743,0.0070099958633895055,0.0059248659758886785,True
HOME CREDIT,prob,SHAP,M3,10,0.021787320005940275,-0.005074272118217777,-0.0002445678756839698,0.024006359259788043,True
HOME CREDIT,prob,SHAP,M3,21,0.027040248824516312,-0.006236216715944465,-0.0005435033920621208,0.018964843665141246,True
HOME CREDIT,prob,SHAP,M3,31,0.026060556219425053,-0.0011030861043254845,0.0013975661064196175,0.014193083793128608,True
HOME CREDIT,prob,SHAP,M3,42,0.026441661417018623,5.022897775052115e-05,0.003969844457638146,0.009674066857328398,True
HOME CREDIT,prob,SHAP,M3,52,0.026969344950513913,0.000650912685028743,0.0070099958633895055,0.0059248659758886785,True
HOME CREDIT,prob,SHAP,M4,10,0.025136881512124093,-0.005571277907816693,0.0006352982805289287,0.026390650790604014,True
HOME CREDIT,prob,SHAP,M4,21,0.030467321251286195,-0.005496467868797481,0.0013581760598619325,0.021485221042067678,True
HOME CREDIT,prob,SHAP,M4,31,0.028736934358021243,0.0009311901654582471,0.003754056394347572,0.016958235927337226,True
HOME CREDIT,prob,SHAP,M4,42,0.029357970135053618,0.002206898922333494,0.0066417204949029834,0.012434659412476321,True
HOME CREDIT,prob,SHAP,M4,52,0.028866812959546222,0.003120732783107087,0.009744914046834311,0.008678843443881305,True
HOME CREDIT,prob,SHAP,M5,10,0.025539096937747672,-0.0048418607135536145,0.0007870184623606278,0.027443296827469113,True
HOME CREDIT,prob,SHAP,M5,21,0.029194696184014903,-0.0055840370018268,0.001679977714915367,0.022467716974857468,True
HOME CREDIT,prob,SHAP,M5,31,0.027983213903615252,0.0005244268424576149,0.004213501255269875,0.017761323041431753,True
HOME CREDIT,prob,SHAP,M5,42,0.029537705729017035,0.001370574879227206,0.00720065403514991,0.013078077799393668,True
HOME CREDIT,prob,SHAP,M5,52,0.029300755865639076,0.0022312052429188044,0.010392590516276754,0.009194814623469938,True
HOME CREDIT,prob,LIME,M1,10,0.03283891003241297,0.0026027452757116406,0.00039501780329396753,0.029679381238387578,True
HOME CREDIT,prob,LIME,M1,21,0.02754161490726983,0.005201823956216685,0.0010291514964192174,0.023801284414024848,True
HOME CREDIT,prob,LIME,M1,31,0.02549340959335677,0.005170929896470625,0.0032578397437846435,0.018784073285649357,True
HOME CREDIT,prob,LIME,M1,42,0.026025963810039684,0.003062009142537136,0.006734830336597497,0.013851435726224735,True
HOME CREDIT,prob,LIME,M1,52,0.028328083746368065,0.002875266169838142,0.011492369923071238,0.010014883157466101,True
HOME CREDIT,prob,LIME,M2,10,0.029201827330864034,-0.005727856739191338,-0.0002445678756839698,0.024006359259788043,True
HOME CREDIT,prob,LIME,M2,21,0.025355204946594313,-0.004663103529950604,-0.0005435033920621208,0.018964843665141246,True
HOME CREDIT,prob,LIME,M2,31,0.023903966843616217,-0.006883287432487123,0.0013975661064196175,0.014193083793128608,True
HOME CREDIT,prob,LIME,M2,42,0.022795301771955566,-0.00751429990073666,0.003969844457638146,0.009674066857328398,True
HOME CREDIT,prob,LIME,M2,52,0.02251159547129646,-0.008142577713821084,0.0070099958633895055,0.0059248659758886785,True
HOME CREDIT,prob,LIME,M3,10,0.029201827330864034,-0.005727856739191338,-0.0002445678756839698,0.024006359259788043,True
HOME CREDIT,prob,LIME,M3,21,0.025355204946594313,-0.004663103529950604,-0.0005435033920621208,0.018964843665141246,True
HOME CREDIT,prob,LIME,M3,31,0.023903966843616217,-0.006883287432487123,0.0013975661064196175,0.014193083793128608,True
HOME CREDIT,prob,LIME,M3,42,0.022795301771955566,-0.00751429990073666,0.003969844457638146,0.009674066857328398,True
HOME CREDIT,prob,LIME,M3,52,0.02251159547129646,-0.008142577713821084,0.0070099958633895055,0.0059248659758886785,True
HOME CREDIT,prob,LIME,M4,10,0.030005654776701703,-0.00290170240891166,0.0006352982805289287,0.026390650790604014,True
HOME CREDIT,prob,LIME,M4,21,0.027279190545435993,-0.0021314462621230632,0.0013581760598619325,0.021485221042067678,True
HOME CREDIT,prob,LIME,M4,31,0.02662141112005338,-0.004483478057896719,0.003754056394347572,0.016958235927337226,True
HOME CREDIT,prob,LIME,M4,42,0.027259130647638814,-0.005903676013229415,0.0066417204949029834,0.012434659412476321,True
HOME CREDIT,prob,LIME,M4,52,0.02727720795548521,-0.005612954017939046,0.009744914046834311,0.008678843443881305,True
HOME CREDIT,prob,LIME,M5,10,0.030777892290614544,-0.0015771113182418048,0.0007870184623606278,0.027443296827469113,True
HOME CREDIT,prob,LIME,M5,21,0.0302966913129203,-0.0029201692604692653,0.001679977714915367,0.022467716974857468,True
HOME CREDIT,prob,LIME,M5,31,0.03047034456487745,-0.005062551319249905,0.004213501255269875,0.017761323041431753,True
HOME CREDIT,prob,LIME,M5,42,0.029638153351377695,-0.005263724942458793,0.00720065403514991,0.013078077799393668,True
HOME CREDIT,prob,LIME,M5,52,0.028991747363004833,-0.00551436741487123,0.010392590516276754,0.009194814623469938,True
HOME CREDIT,logit,SHAP,M1,10,0.15895025213062763,0.11488128095492721,0.013034436234451278,0.35965264977826156,True
HOME CREDIT,logit,SHAP,M1,21,0.3014710790514946,0.0228537746865768,0.03230186287387187,0.28830728995651317,True
HOME CREDIT,logit,SHAP,M1,31,0.3692595065832138,-0.007890421860851347,0.05793095956649631,0.22730856823016074,True
HOME CREDIT,logit,SHAP,M1,42,0.3948501587808132,-0.006326358497142792,0.09803629497397197,0.16670436606666772,True
HOME CREDIT,logit,SHAP,M1,52,0.3934036334976554,-0.002026657538488507,0.1496238969512924,0.11921605904812532,True
HOME CREDIT,logit,SHAP,M2,10,0.18288137328624726,0.10029189765453339,0.01776168902466088,0.3147283035470755,True
HOME CREDIT,logit,SHAP,M2,21,0.24446215614676475,0.07227015283703804,0.033054922386043475,0.2613256867871969,True
HOME CREDIT,logit,SHAP,M2,31,0.2648549277931452,0.07537467469274997,0.061982827161904425,0.2132463892636588,True
HOME CREDIT,logit,SHAP,M2,42,0.2894426759928465,0.07386939585208893,0.09847225003290805,0.1616400330215256,True
HOME CREDIT,logit,SHAP,M2,52,0.3001527763158083,0.07414284946024417,0.13747264375476514,0.11885915876006402,True
HOME CREDIT,logit,SHAP,M3,10,0.18288137328624726,0.10029189765453339,0.01776168902466088,0.3147283035470755,True
HOME CREDIT,logit,SHAP,M3,21,0.24446215614676475,0.07227015283703804,0.033054922386043475,0.2613256867871969,True
HOME CREDIT,logit,SHAP,M3,31,0.2648549277931452,0.07537467469274997,0.061982827161904425,0.2132463892636588,True
HOME CREDIT,logit,SHAP,M3,42,0.2894426759928465,0.07386939585208893,0.09847225003290805,0.1616400330215256,True
HOME CREDIT,logit,SHAP,M3,52,0.3001527763158083,0.07414284946024417,0.13747264375476514,0.11885915876006402,True
HOME CREDIT,logit,SHAP,M4,10,0.21563822290301324,0.06949314896017313,0.01705626513189054,0.32350707359621084,True
HOME CREDIT,logit,SHAP,M4,21,0.2769212018251419,0.04873862939327955,0.033879237707325954,0.2643736791384872,True
HOME CREDIT,logit,SHAP,M4,31,0.3045665421485901,0.06941292363405227,0.06022031966894428,0.21284731396433199,True
HOME CREDIT,logit,SHAP,M4,42,0.31818714675307275,0.08024901311099529,0.09540730551541492,0.1604067204736639,True
HOME CREDIT,logit,SHAP,M4,52,0.30737622383236884,0.08653014209866523,0.13383305858186215,0.11642497922299663,True
HOME CREDIT,logit,SHAP,M5,10,0.20273253044486045,0.10637803483009338,0.022870979888270086,0.3389679484446242,True
HOME CREDIT,logit,SHAP,M5,21,0.2516619935333729,0.08209764660894871,0.044739770136919106,0.2826023967275396,True
HOME CREDIT,logit,SHAP,M5,31,0.2859821136146784,0.08592617464065552,0.07489849796284398,0.2321768090319674,True
HOME CREDIT,logit,SHAP,M5,42,0.31075156106054785,0.08453819248080253,0.11332832533591136,0.17890622969121614,True
HOME CREDIT,logit,SHAP,M5,52,0.3080486517995596,0.0856027130484581,0.1536038738037223,0.1339923208496948,True
HOME CREDIT,logit,LIME,M1,10,0.30201050522178413,0.07660390726104378,0.013034436234451278,0.35965264977826156,True
HOME CREDIT,logit,LIME,M1,21,0.22215166027098895,0.1133207582719624,0.03230186287387187,0.28830728995651317,True
HOME CREDIT,logit,LIME,M1,31,0.2098648276105523,0.10991527087241411,0.05793095956649631,0.22730856823016074,True
HOME CREDIT,logit,LIME,M1,42,0.21391956315934657,0.08351300313603133,0.09803629497397197,0.16670436606666772,True
HOME CREDIT,logit,LIME,M1,52,0.24780846425890923,0.062251599311828616,0.1496238969512924,0.11921605904812532,True
HOME CREDIT,logit,LIME,M2,10,0.2936837757378817,0.010993852481245995,0.01776168902466088,0.3147283035470755,True
HOME CREDIT,logit,LIME,M2,21,0.26047044613957404,0.018590618416666985,0.033054922386043475,0.2613256867871969,True
HOME CREDIT,logit,LIME,M2,31,0.2526624419987202,0.001067944198846817,0.061982827161904425,0.2132463892636588,True
HOME CREDIT,logit,LIME,M2,42,0.2592705165147781,-0.013633003801107407,0.09847225003290805,0.1616400330215256,True
HOME CREDIT,logit,LIME,M2,52,0.2696948639452457,-0.028361467406153678,0.13747264375476514,0.11885915876006402,True
HOME CREDIT,logit,LIME,M3,10,0.2936837757378817,0.010993852481245995,0.01776168902466088,0.3147283035470755,True
HOME CREDIT,logit,LIME,M3,21,0.26047044613957404,0.018590618416666985,0.033054922386043475,0.2613256867871969,True
HOME CREDIT,logit,LIME,M3,31,0.2526624419987202,0.001067944198846817,0.061982827161904425,0.2132463892636588,True
HOME CREDIT,logit,LIME,M3,42,0.2592705165147781,-0.013633003801107407,0.09847225003290805,0.1616400330215256,True
HOME CREDIT,logit,LIME,M3,52,0.2696948639452457,-0.028361467406153678,0.13747264375476514,0.11885915876006402,True
HOME CREDIT,logit,LIME,M4,10,0.2789848604351282,0.020032307393848897,0.01705626513189054,0.32350707359621084,True
HOME CREDIT,logit,LIME,M4,21,0.25256152905523777,0.03231089078634977,0.033879237707325954,0.2643736791384872,True
HOME CREDIT,logit,LIME,M4,31,0.2626123404353857,0.01168786807358265,0.06022031966894428,0.21284731396433199,True
HOME CREDIT,logit,LIME,M4,42,0.28629003866016867,-0.010094358220696448,0.09540730551541492,0.1604067204736639,True
HOME CREDIT,logit,LIME,M4,52,0.29910125793516634,-0.018008965581655503,0.13383305858186215,0.11642497922299663,True
HOME CREDIT,logit,LIME,M5,10,0.2797205500155687,0.03544597686827183,0.022870979888270086,0.3389679484446242,True
HOME CREDIT,logit,LIME,M5,21,0.2877645483091474,0.0313725910410285,0.044739770136919106,0.2826023967275396,True
