Dataset,Model,Jaccard_SHAP,Jaccard_LIME,MaxSensitivity_SHAP
HOME CREDIT,M1,1.0,0.2613557736232961,0.6058197304606437
HOME CREDIT,M2,0.7374078933822643,0.3444535635019523,0.4023588958116056
HOME CREDIT,M3,0.7374078933822643,0.3444535635019523,0.4023588958116056
HOME CREDIT,M4,0.7435579903521434,0.37945373253668196,0.28784838028224036
HOME CREDIT,M5,0.736732418030819,0.36511825712540724,0.31619571540324143
TAIWAN,M1,1.0,0.43026455026455024,1.2036363944411277
TAIWAN,M2,0.8257010582010581,0.5240828924162257,0.2552159363962538
TAIWAN,M3,0.8257010582010581,0.5240828924162257,0.2552159363962538
TAIWAN,M4,0.8091181657848324,0.5063580246913578,0.23609038794278453
TAIWAN,M5,0.811706349206349,0.5414329805996472,0.24748196150483434
GMSC,M1,1.0,0.9933333333333334,1.435974945127964
GMSC,M2,0.9570370370370369,0.8696296296296296,0.5874344111161935
GMSC,M3,0.9570370370370369,0.8696296296296296,0.5874344111161935
GMSC,M4,0.9688888888888888,1.0,0.6450196916882434
GMSC,M5,0.9829629629629629,1.0,0.6550095579471892
