Dataset,Model,Method,Group,N,K,rho_epistemic,p_epistemic,rho_aleatoric,p_aleatoric,rho_intra,p_intra,rho_inter,p_inter,p_epistemic_FDR,Sig_epistemic_FDR
HOME CREDIT,M2,SHAP,All,2000,31,,,0.7664442626110657,0.0,,,,,,False
HOME CREDIT,M2,SHAP,Minority,1000,31,,,0.8129849489849489,1.2504594414838878e-236,,,,,,
HOME CREDIT,M2,SHAP,Majority,1000,31,,,0.6704459384459385,1.6374178978163064e-131,,,,,,
HOME CREDIT,M2,LIME,All,2000,31,,,0.6857030089257522,6.491897134003347e-278,,,,,,False
HOME CREDIT,M2,LIME,Minority,1000,31,,,0.7464370344370346,1.0047706965980708e-178,,,,,,
HOME CREDIT,M2,LIME,Majority,1000,31,,,0.5595895875895877,1.7804658314417963e-83,,,,,,
HOME CREDIT,M3,SHAP,All,2000,31,0.41254601213650305,4.9265904037392074e-83,0.7660054450013611,0.0,0.41254601213650305,4.9265904037392074e-83,,,8.867862726730573e-83,True
HOME CREDIT,M3,SHAP,Minority,1000,31,0.31434603834603836,2.2569599451243593e-24,0.8128769248769249,1.6194083480923833e-236,0.31434603834603836,2.2569599451243593e-24,,,,
HOME CREDIT,M3,SHAP,Majority,1000,31,0.4145205545205546,8.41372102330144e-43,0.6691630291630293,7.771119651201701e-131,0.4145205545205546,8.41372102330144e-43,,,,
HOME CREDIT,M3,LIME,All,2000,31,0.3932056403014101,6.102269882681808e-75,0.686657300164325,5.470032395810626e-279,0.3932056403014101,6.102269882681808e-75,,,9.985532535297502e-75,True
HOME CREDIT,M3,LIME,Minority,1000,31,0.30554768954768957,4.7121129417501486e-23,0.7472589392589393,2.5116348016338147e-179,0.30554768954768957,4.7121129417501486e-23,,,,
HOME CREDIT,M3,LIME,Majority,1000,31,0.39009202209202215,1.0822725781636926e-37,0.5595921195921197,1.7767961242245694e-83,0.39009202209202215,1.0822725781636926e-37,,,,
HOME CREDIT,M4,SHAP,All,2000,31,0.48614097696754716,3.847855745544847e-119,0.7617192759654637,0.0,,,0.48614097696754716,3.847855745544847e-119,1.1543567236634542e-118,True
HOME CREDIT,M4,SHAP,Minority,1000,31,0.4138424710839986,1.1820189237922146e-42,0.8163780808272151,3.407329529914836e-240,,,0.4138424710839986,1.1820189237922146e-42,,
HOME CREDIT,M4,SHAP,Majority,1000,31,0.4376567216567217,4.78647013641951e-48,0.645965433965434,3.623884707351994e-119,,,0.4376567216567217,4.78647013641951e-48,,
HOME CREDIT,M4,LIME,All,2000,31,0.4699130539782635,2.1179953360705245e-110,0.7077574319393579,7.464098404296816e-304,,,0.4699130539782635,2.1179953360705245e-110,5.446273721324206e-110,True
HOME CREDIT,M4,LIME,Minority,1000,31,0.37899547899547903,1.6490152415697074e-35,0.7526586806586807,2.428582170356628e-183,,,0.37899547899547903,1.6490152415697074e-35,,
HOME CREDIT,M4,LIME,Majority,1000,31,0.4517329037329038,1.9243283779774074e-51,0.5980291060291061,5.0890209028228724e-98,,,0.4517329037329038,1.9243283779774074e-51,,
HOME CREDIT,M5,SHAP,All,2000,31,0.4167588096897024,7.205125537356479e-85,0.7592707163176791,0.0,0.3956586929146732,6.145370228235615e-76,0.32555240438810107,1.3518288573396597e-50,1.4410251074712959e-84,True
HOME CREDIT,M5,SHAP,Minority,1000,31,0.3065898545898546,3.305411638015239e-23,0.8138990258990261,1.393123595667213e-237,0.26783579183579187,6.871130664280836e-18,0.262005094005094,3.6844512679746314e-17,,
HOME CREDIT,M5,SHAP,Majority,1000,31,0.4259005499005499,2.4895838650588155e-45,0.6511107751107751,1.1466832365988692e-121,0.41476974676974676,7.424158967891093e-43,0.30253512253512255,1.3027535004176447e-22,,
HOME CREDIT,M5,LIME,All,2000,31,0.4230269227567306,1.1981906905575478e-87,0.7264063231015807,0.0,0.4037638309409577,2.7164799613712356e-79,0.3271774537943634,4.1087866853402e-51,2.6959290537544825e-87,True
HOME CREDIT,M5,LIME,Minority,1000,31,0.3192880152880153,3.9132921542593853e-25,0.7917568557568558,7.185549187365046e-216,0.28259340659340665,8.120173410635756e-20,0.2617673857673858,3.942074983601809e-17,,
HOME CREDIT,M5,LIME,Majority,1000,31,0.4237245997245997,7.712564691346118e-45,0.5836233196233197,2.428296553926126e-92,0.4163400443400443,3.366350156316987e-43,0.3074566994566995,2.4584783322293202e-23,,
TAIWAN,M2,SHAP,All,2000,7,,,0.7078404137255436,5.899244570250991e-304,,,,,,False
TAIWAN,M2,SHAP,Minority,1000,7,,,0.6252305532305532,1.4469398591892175e-109,,,,,,
