Dataset,Model,Method,rho_minority,rho_majority,Fisher_Z,P_value,interaction_coef,interaction_se,interaction_t,interaction_p,N_interaction,P_FDR,Sig_FDR,interaction_p_FDR,interaction_Sig_FDR
HOME CREDIT,M2,SHAP,,,,,,,,,2000,,False,,False
HOME CREDIT,M2,LIME,,,,,,,,,2000,,False,,False
HOME CREDIT,M3,SHAP,0.31434603834603836,0.4145205545205546,-2.508999820086967,0.012107354606141122,-0.023689119596829684,0.03569594471952867,-0.6636361576352888,0.5069999275368863,2000,0.027241547863817526,True,0.6211483459143867,False
HOME CREDIT,M3,LIME,0.30554768954768957,0.39009202209202215,-2.0879584267733775,0.03680158498589917,-0.06000070463313344,0.04035812867228879,-1.486706807452445,0.13725035991524345,2000,0.06624285297461852,False,0.34493511543393174,False
HOME CREDIT,M4,SHAP,0.4138424710839986,0.4376567216567217,-0.6308400813928319,0.5281450930643271,-0.02897768725528244,0.0385682381789084,-0.7513355191611866,0.4525394208821013,2000,0.6337741116771926,False,0.6211483459143867,False
HOME CREDIT,M4,LIME,0.37899547899547903,0.4517329037329038,-1.9081348713420556,0.05637378668788663,-0.11578329679853347,0.042098444300628486,-2.7502987039548383,0.00600787262879642,2000,0.09224801458017812,False,0.10814170731833557,False
HOME CREDIT,M5,SHAP,0.3065898545898546,0.4259005499005499,-2.994859909155072,0.0027457091551754027,0.012255832879222217,0.03724356784863832,0.3290724704204275,0.7421354704120956,2000,0.00988455295863145,True,0.7421354704120956,False
HOME CREDIT,M5,LIME,0.3192880152880153,0.4237245997245997,-2.6320071632167856,0.008488207320786274,-0.025503150638714223,0.0394097495538781,-0.6471279550723407,0.5176236215953223,2000,0.02182681882487899,True,0.6211483459143867,False
TAIWAN,M2,SHAP,,,,,,,,,2000,,False,,False
TAIWAN,M2,LIME,,,,,,,,,2000,,False,,False
TAIWAN,M3,SHAP,0.022402006402006402,0.14342564342564346,-2.64603309007746,0.008144184932828015,0.030392273672410815,0.03195751040921567,0.9510213180951204,0.341708810085353,2000,0.02182681882487899,True,0.5591598710487594,False
TAIWAN,M3,LIME,0.015888699888699887,0.10015696015696017,-1.834720105281992,0.06654717174207472,0.04732640034873668,0.03444976160321668,1.37378019894099,0.16966434531295377,2000,0.09982075761311208,False,0.34493511543393174,False
TAIWAN,M4,SHAP,0.11397286197286198,0.19265244065244067,-1.7483294869007087,0.08040699012841461,-0.06238965606324472,0.033768935402639054,-1.8475458381897625,0.06481609996185098,2000,0.11133275556242023,False,0.2433840437335494,False
TAIWAN,M4,LIME,0.07412261012261012,0.13722346122346124,-1.3843445936861098,0.16625296558089886,-0.06646867591758082,0.036349200199707485,-1.8286145376622542,0.06760667881487484,2000,0.2137538128897271,False,0.2433840437335494,False
TAIWAN,M5,SHAP,0.16402312402312405,0.16673656673656675,-0.06049844885151052,0.9517586512260252,0.046614959726694,0.03216550569404253,1.449222038356689,0.14743282917448422,2000,0.9517586512260253,False,0.34493511543393174,False
TAIWAN,M5,LIME,0.14527004527004528,0.13308399708399707,0.2694904538952099,0.7875522872752808,0.047840378306736195,0.03505284082558092,1.36480745012322,0.17246755771696587,2000,0.8338788924091208,False,0.34493511543393174,False
GMSC,M2,SHAP,,,,,,,,,2000,,False,,False
GMSC,M2,LIME,,,,,,,,,2000,,False,,False
GMSC,M3,SHAP,0.6458351785227961,0.5296814792713709,3.8691766465135826,0.00010920350421706921,0.03177767814949549,0.040721734006750596,0.7803616158444427,0.4352706771552054,2000,0.0006552210253024152,True,0.6211483459143867,False
GMSC,M3,LIME,0.5883809873865824,0.34658580902150327,6.80133893964249,1.0365123652843222e-11,-0.024891327679799104,0.053544785360956,-0.464869314761498,0.6420758032615405,2000,1.8657222575117798e-10,True,0.6798449681592781,False
GMSC,M4,SHAP,0.5309508857294437,0.4534710496541924,2.2208025536366347,0.02636433755708699,0.057959262261749314,0.03144921309840382,1.8429479326047424,0.06548495835156652,2000,0.05272867511417398,False,0.2433840437335494,False
GMSC,M4,LIME,0.47504365431660983,0.25601552632668084,5.523949464086783,3.3146283859747036e-08,0.04822396580438186,0.04261587662299899,1.13159624125522,0.25794029068451907,2000,2.983165547377233e-07,True,0.4642925232321343,False
GMSC,M5,SHAP,0.3955124465643576,0.37299897927863596,0.5728511087522159,0.5667455105716404,0.05800541687675248,0.026920052635895766,2.1547289547051935,0.031302466121760984,2000,0.6375886993930954,False,0.2433840437335494,False
GMSC,M5,LIME,0.3478569661190417,0.22077566273113006,3.0042119769754274,0.0026626973682514145,0.01937545977983865,0.036271499869798135,0.534178620939021,0.5932775066511706,2000,0.00988455295863145,True,0.6674371949825669,False
