Dataset,Model,Gating_AUC_standard,Gating_AUC_class_discriminative,AURC,Error_rate,Structural_NA,Note,Gating_AUC_standard_margin,Gating_AUC_class_discriminative_margin,AURC_margin,Gating_AUC_standard_aleatoric,Gating_AUC_class_discriminative_aleatoric,AURC_aleatoric
HOME CREDIT,M2,,,,0.114,True,"epistemic_unc is a structural constant (0) for M2 -- AUC=0.500/AURC=error-rate would hold BY DEFINITION here, not as an empirical result",0.7336095600174252,0.6297903109182936,0.057967310463954445,0.8169354679022612,0.7193635630457755,0.04007630568168419
HOME CREDIT,M3,0.7080992906386248,0.6217774904054729,0.058433705448558554,0.113,False,,0.7411429597629475,0.6409422103565271,0.05476352343838682,0.8153864572836748,0.7203056343511876,0.03989824089022508
HOME CREDIT,M4,0.7262883812331122,0.6383940986706713,0.052828390420378554,0.115,False,,0.7590002456398918,0.6484996384671006,0.05233887887370932,0.8179955784819455,0.718376300127927,0.041196087355348306
HOME CREDIT,M5,0.7193662490788505,0.6312155848489904,0.05399374871938975,0.115,False,,0.7631441906165563,0.6572807163913454,0.04876117148963376,0.818909358879882,0.7192557984315036,0.04058176800719261
TAIWAN,M2,,,,0.196,True,"epistemic_unc is a structural constant (0) for M2 -- AUC=0.500/AURC=error-rate would hold BY DEFINITION here, not as an empirical result",0.6009247448979592,0.44625468659443657,0.1722050586731807,0.7530578929332927,0.7418290498157991,0.0927982766408686
TAIWAN,M3,0.5904765624999999,0.566644033244716,0.1577182714612802,0.2,False,,0.6073734375,0.44671382912439733,0.1742559646540789,0.7537640625,0.7463932839334297,0.09420729788364714
TAIWAN,M4,0.6204461695039541,0.5715027090186158,0.1399806144755135,0.197,False,,0.60254376039092,0.4515973654075337,0.17253207257586795,0.7611984879038631,0.7501612048645803,0.0892557504506065
TAIWAN,M5,0.5795221425479457,0.5501879299120094,0.15914013687471246,0.199,False,,0.6033193432832076,0.44876948248188686,0.17649361276049513,0.7557905005677577,0.7530760995725546,0.09186848370503539
GMSC,M2,,,,0.069,True,"epistemic_unc is a structural constant (0) for M2 -- AUC=0.500/AURC=error-rate would hold BY DEFINITION here, not as an empirical result",0.7715951369105996,0.7616491209692906,0.04913516757609404,0.8936004607792774,0.8774027130361912,0.012205143081039522
GMSC,M3,0.8250751101355873,0.8123657885088776,0.017782247620769184,0.069,False,,0.7774404956490605,0.763071981005255,0.04812099528449819,0.8928882765921013,0.8770317219225194,0.012188416755395226
GMSC,M4,0.7755459479929312,0.7746250807451248,0.024725249010829703,0.068,False,,0.8033758836152487,0.7890064421515739,0.03895530620784838,0.8920687642009593,0.8786771766266868,0.012149753393351627
GMSC,M5,0.7096311049255332,0.7267410394734545,0.030374372884101962,0.067,False,,0.7857897010126218,0.7805783969692209,0.043522953266599704,0.8909191982211132,0.8789346881055885,0.0120338359742262
