dataset,config_id,M,T,metric,mean,ci_low,ci_high,n_repeats
HOME CREDIT,0,1,50,gating_auc_std,0.6783270367299177,0.6028599252354374,0.7125517108526043,30
HOME CREDIT,0,1,50,gating_auc_classdiscrim,0.6040031657303891,0.5505973114466878,0.6351322202291563,30
HOME CREDIT,0,1,50,aurc,0.0633515265220856,0.0565206130312703,0.077530459609099,30
HOME CREDIT,0,1,50,epi_mean,0.0033468949487331,0.0029136513390095,0.0039204900684543,30
HOME CREDIT,0,1,50,epi_cv,0.5119772420210942,0.4204974446994642,0.6307139698857964,30
HOME CREDIT,0,1,50,epi_pct_of_total,1.3214311781164283,1.192138288850602,1.5481792446599647,30
HOME CREDIT,0,1,50,intra_mean,0.0033468949487331,0.0029136513390095,0.0039204900684543,30
HOME CREDIT,0,1,50,inter_mean,0.0,0.0,0.0,30
HOME CREDIT,1,2,25,gating_auc_std,0.6843036357913234,0.6519391425945203,0.7133147141010666,30
HOME CREDIT,1,2,25,gating_auc_classdiscrim,0.6126092710013533,0.5786251494799489,0.6379566090995049,30
HOME CREDIT,1,2,25,aurc,0.0615010249375908,0.0556920553029441,0.0680276030543373,30
HOME CREDIT,1,2,25,epi_mean,0.0040369124689962,0.003565986194894,0.0045183898573724,30
HOME CREDIT,1,2,25,epi_cv,0.6056230561297531,0.5436545056739981,0.6984582395360092,30
HOME CREDIT,1,2,25,epi_pct_of_total,1.5889837982422683,1.4461511034326044,1.7779393608395753,30
HOME CREDIT,1,2,25,intra_mean,0.0033210528830811,0.0029086346219103,0.0036632145363877,30
HOME CREDIT,1,2,25,inter_mean,0.0007158595859151,0.0005372384900567,0.0009541395525367,30
HOME CREDIT,2,5,10,gating_auc_std,0.6926863344326969,0.6515455179792232,0.7332565938507883,30
HOME CREDIT,2,5,10,gating_auc_classdiscrim,0.6159731492296568,0.5892895009455476,0.6431537314366761,30
HOME CREDIT,2,5,10,aurc,0.0592693565594131,0.0525202537129694,0.0682203436391485,30
HOME CREDIT,2,5,10,epi_mean,0.0043416447639347,0.0040543107298024,0.0046408280067735,30
HOME CREDIT,2,5,10,epi_cv,0.58992866005941,0.549872957621182,0.6474958412200756,30
HOME CREDIT,2,5,10,epi_pct_of_total,1.704089165553102,1.5955471958087095,1.8342877020582824,30
HOME CREDIT,2,5,10,intra_mean,0.0030460989263773,0.0028528678416773,0.0032289198729233,30
HOME CREDIT,2,5,10,inter_mean,0.0012955458375574,0.0011258445468603,0.0014947949049687,30
HOME CREDIT,3,10,5,gating_auc_std,0.6962490638356216,0.6780413664257428,0.7134192270893522,30
HOME CREDIT,3,10,5,gating_auc_classdiscrim,0.6183677253091571,0.597926226430836,0.6415277893653707,30
HOME CREDIT,3,10,5,aurc,0.0590668645218958,0.0536142510574052,0.0631780713136747,30
HOME CREDIT,3,10,5,epi_mean,0.0045348434344517,0.0043607776278411,0.0047613666073197,30
HOME CREDIT,3,10,5,epi_cv,0.5845171185915012,0.5665878972326107,0.6085601145444435,30
HOME CREDIT,3,10,5,epi_pct_of_total,1.7770197692716354,1.7119819463877697,1.857026157610178,30
HOME CREDIT,3,10,5,intra_mean,0.0027204729287221,0.0026274212029183,0.002854432007869,30
HOME CREDIT,3,10,5,inter_mean,0.0018143705057295,0.0017196561639985,0.0019491090753036,30
HOME CREDIT,4,25,2,gating_auc_std,0.7046703494999907,0.6884579735763714,0.714289412690255,30
HOME CREDIT,4,25,2,gating_auc_classdiscrim,0.6228484157442942,0.6060418578619501,0.6376457429501086,30
HOME CREDIT,4,25,2,aurc,0.057316195593468,0.0535208208767073,0.06220837157836,30
HOME CREDIT,4,25,2,epi_mean,0.0046013482951991,0.0044982599576347,0.0047057735855525,30
HOME CREDIT,4,25,2,epi_cv,0.5733164485297106,0.5553692692521809,0.5868764623859932,30
HOME CREDIT,4,25,2,epi_pct_of_total,1.80448186840312,1.7584279865835857,1.84635317972834,30
HOME CREDIT,4,25,2,intra_mean,0.0016806408047993,0.0016497692893562,0.0017108875668754,30
HOME CREDIT,4,25,2,inter_mean,0.0029207074903998,0.0028414925746223,0.0030019165739754,30
HOME CREDIT,5,50,1,gating_auc_std,0.7262883812331122,0.7262883812331122,0.7262883812331122,1
HOME CREDIT,5,50,1,gating_auc_classdiscrim,0.6383940986706713,0.6383940986706713,0.6383940986706713,1
HOME CREDIT,5,50,1,aurc,0.0528283904203785,0.0528283904203785,0.0528283904203785,1
HOME CREDIT,5,50,1,epi_mean,0.0015388682590319,0.0015388682590319,0.0015388682590319,1
HOME CREDIT,5,50,1,epi_cv,0.935265181672492,0.935265181672492,0.935265181672492,1
HOME CREDIT,5,50,1,epi_pct_of_total,0.6128375730927547,0.6128375730927547,0.6128375730927547,1
HOME CREDIT,5,50,1,intra_mean,0.0,0.0,0.0,1
HOME CREDIT,5,50,1,inter_mean,0.0015388682590319,0.0015388682590319,0.0015388682590319,1
TAIWAN,0,1,50,gating_auc_std,0.590959213136312,0.5480435479737188,0.6115488050270944,30
TAIWAN,0,1,50,gating_auc_classdiscrim,0.5851310330111308,0.5231168552698842,0.6348795663705677,30
TAIWAN,0,1,50,aurc,0.1590520751439983,0.1446352906284967,0.1844827494860128,30
TAIWAN,0,1,50,epi_mean,0.0074252072674183,0.0067918335672726,0.0080178692208953,30
TAIWAN,0,1,50,epi_cv,0.5133378166586416,0.4710140087946937,0.5831402364382744,30
TAIWAN,0,1,50,epi_pct_of_total,1.7943853153869829,1.6574193791177725,1.9241395572675548,30
TAIWAN,0,1,50,intra_mean,0.0074252072674183,0.0067918335672726,0.0080178692208953,30
TAIWAN,0,1,50,inter_mean,0.0,0.0,0.0,30
TAIWAN,1,2,25,gating_auc_std,0.5945242040117871,0.5633036191449609,0.6174664699658953,30
TAIWAN,1,2,25,gating_auc_classdiscrim,0.5800486644468303,0.5437053967504207,0.6241541600177751,30
TAIWAN,1,2,25,aurc,0.1552060485612432,0.1429424911610734,0.1730126086174767,30
TAIWAN,1,2,25,epi_mean,0.008135308560714,0.0075083474794951,0.009332729138679,30
TAIWAN,1,2,25,epi_cv,0.5388866277567141,0.4930974287635252,0.6078960196297584,30
TAIWAN,1,2,25,epi_pct_of_total,1.96510219912045,1.8198647069283485,2.218444477207965,30
TAIWAN,1,2,25,intra_mean,0.0071798803448167,0.0065271800190008,0.0076397711133637,30
TAIWAN,1,2,25,inter_mean,0.0009554282158973,0.0006464538653242,0.0018716386695642,30
TAIWAN,2,5,10,gating_auc_std,0.6013625412083261,0.5864757499372789,0.6185063021072512,30
TAIWAN,2,5,10,gating_auc_classdiscrim,0.5942339156389695,0.5560184573743262,0.6248726287347088,30
TAIWAN,2,5,10,aurc,0.1511870281622721,0.1407469862394616,0.1661079968614706,30
TAIWAN,2,5,10,epi_mean,0.0086006290467364,0.0081718438999972,0.0092656306650348,30
TAIWAN,2,5,10,epi_cv,0.5172964129086444,0.4768472445590758,0.5683213855919277,30
TAIWAN,2,5,10,epi_pct_of_total,2.074592625137775,1.9702858649740396,2.233062936745046,30
TAIWAN,2,5,10,intra_mean,0.0066831462399987,0.0064641143805557,0.0069827962337308,30
TAIWAN,2,5,10,inter_mean,0.0019174828067376,0.001632326630711,0.0022980623395602,30
TAIWAN,3,10,5,gating_auc_std,0.6044619059985641,0.5830361617493601,0.6234915278480139,30
TAIWAN,3,10,5,gating_auc_classdiscrim,0.5935638213295918,0.5615922223896853,0.613221479169224,30
TAIWAN,3,10,5,aurc,0.1481741509391926,0.1370335852330986,0.1574497695009414,30
TAIWAN,3,10,5,epi_mean,0.0088980748885701,0.0084637909622045,0.0093532123821048,30
TAIWAN,3,10,5,epi_cv,0.5227346441738654,0.494275429870273,0.5571715916847723,30
TAIWAN,3,10,5,epi_pct_of_total,2.1560145124962404,2.0522607728980136,2.2600970560133,30
TAIWAN,3,10,5,intra_mean,0.0059670561944027,0.005821740813685,0.006105832593151,30
TAIWAN,3,10,5,inter_mean,0.0029310186941674,0.0026340798556893,0.003276659771107,30
TAIWAN,4,25,2,gating_auc_std,0.6064263474789431,0.5858616719661676,0.6203716000027512,30
TAIWAN,4,25,2,gating_auc_classdiscrim,0.5935342476821458,0.5712722831736304,0.611586900686927,30
TAIWAN,4,25,2,aurc,0.147438746761882,0.1387926848488966,0.159668923377646,30
TAIWAN,4,25,2,epi_mean,0.0090626143915067,0.0088260354168483,0.0093151965587015,30
TAIWAN,4,25,2,epi_cv,0.5155962128725733,0.5000419575606038,0.5299093325776387,30
TAIWAN,4,25,2,epi_pct_of_total,2.187748084263535,2.1332361720492186,2.2555212386905303,30
TAIWAN,4,25,2,intra_mean,0.003726126660817,0.0036634138886003,0.0037941430152007,30
TAIWAN,4,25,2,inter_mean,0.0053364877306896,0.0051271492694789,0.0055468694402054,30
TAIWAN,5,50,1,gating_auc_std,0.6204461695039541,0.6204461695039541,0.6204461695039541,1
TAIWAN,5,50,1,gating_auc_classdiscrim,0.5715027090186158,0.5715027090186158,0.5715027090186158,1
TAIWAN,5,50,1,aurc,0.1399806144755135,0.1399806144755135,0.1399806144755135,1
TAIWAN,5,50,1,epi_mean,0.0022667400174079,0.0022667400174079,0.0022667400174079,1
TAIWAN,5,50,1,epi_cv,0.8507653498454452,0.8507653498454452,0.8507653498454452,1
TAIWAN,5,50,1,epi_pct_of_total,0.5566360681783382,0.5566360681783382,0.5566360681783382,1
TAIWAN,5,50,1,intra_mean,0.0,0.0,0.0,1
TAIWAN,5,50,1,inter_mean,0.0022667400174079,0.0022667400174079,0.0022667400174079,1
GMSC,0,1,50,gating_auc_std,0.7625701468640393,0.7051272621180302,0.8168740319279448,30
GMSC,0,1,50,gating_auc_classdiscrim,0.752222309514249,0.6974053536200003,0.8069959103685469,30
GMSC,0,1,50,aurc,0.0260891692552833,0.0189188955113431,0.034020002902074,30
GMSC,0,1,50,epi_mean,0.0030476511558078,0.0027217757668733,0.0034065261434767,30
GMSC,0,1,50,epi_cv,0.5407426178230073,0.4019388331083149,0.6360986605755725,30
GMSC,0,1,50,epi_pct_of_total,1.454452687645945,1.2329269966148224,1.630437137112799,30
GMSC,0,1,50,intra_mean,0.0030476511558078,0.0027217757668733,0.0034065261434767,30
GMSC,0,1,50,inter_mean,0.0,0.0,0.0,30
GMSC,1,2,25,gating_auc_std,0.7543765498505988,0.5898040188904105,0.8200491332168418,30
GMSC,1,2,25,gating_auc_classdiscrim,0.7459106595203594,0.5786300389322439,0.8024000942753888,30
GMSC,1,2,25,aurc,0.027066447630482,0.0197253819046304,0.0510786423865167,30
GMSC,1,2,25,epi_mean,0.0037616067942409,0.0032288956488877,0.0048110579506806,30
GMSC,1,2,25,epi_cv,0.5856421292709275,0.4190800691888934,0.6943174756360161,30
GMSC,1,2,25,epi_pct_of_total,1.8134648902994703,1.5526564739090885,2.284853328010514,30
GMSC,1,2,25,intra_mean,0.0030269312561319,0.0027668562446507,0.0033317897043251,30
GMSC,1,2,25,inter_mean,0.000734675538109,0.0002820321009764,0.0018294753824206,30
GMSC,2,5,10,gating_auc_std,0.7628461402324986,0.6826285790439081,0.8238618658278738,30
GMSC,2,5,10,gating_auc_classdiscrim,0.7541939454250248,0.6826343424291625,0.8109442378533144,30
GMSC,2,5,10,aurc,0.0259218310128091,0.0185150406803992,0.0375216106961888,30
GMSC,2,5,10,epi_mean,0.0039955178418733,0.0035774555089988,0.0046704162575958,30
GMSC,2,5,10,epi_cv,0.5560523812237487,0.4590528405752854,0.6351819568834337,30
GMSC,2,5,10,epi_pct_of_total,1.9072795061802972,1.7740490681269094,2.1261606545287184,30
GMSC,2,5,10,intra_mean,0.0028716132928764,0.0026927665616144,0.0030461540118566,30
GMSC,2,5,10,inter_mean,0.0011239045489968,0.0008185559390031,0.0017380513991772,30
GMSC,3,10,5,gating_auc_std,0.777452006182509,0.7327027443170001,0.8113440627967434,30
GMSC,3,10,5,gating_auc_classdiscrim,0.7691937708409714,0.7229666413519789,0.7995531739380926,30
GMSC,3,10,5,aurc,0.02408661499665,0.0200787153637222,0.0304673268419134,30
GMSC,3,10,5,epi_mean,0.0041108478758861,0.0038680211397923,0.0045188813018543,30
GMSC,3,10,5,epi_cv,0.5391846596341173,0.4838584102940126,0.6025429310768465,30
GMSC,3,10,5,epi_pct_of_total,1.9526008745795012,1.8345837008471024,2.143669493367786,30
GMSC,3,10,5,intra_mean,0.0025243163289418,0.0024603996972647,0.0026125200033352,30
GMSC,3,10,5,inter_mean,0.0015865315469443,0.0013622798189217,0.0020008613761793,30
GMSC,4,25,2,gating_auc_std,0.7709842768692954,0.7405805233842464,0.8027842246129235,30
GMSC,4,25,2,gating_auc_classdiscrim,0.7692817903012739,0.7423634752701689,0.7981646851376595,30
GMSC,4,25,2,aurc,0.0245301435023905,0.0208947072937652,0.0287081193800754,30
GMSC,4,25,2,epi_mean,0.0041674903814139,0.003940724872886,0.0043881854062645,30
GMSC,4,25,2,epi_cv,0.5253467297638236,0.4891285667635404,0.5656781741969207,30
GMSC,4,25,2,epi_pct_of_total,1.97985650019969,1.8937045821274383,2.064435896007714,30
GMSC,4,25,2,intra_mean,0.0015630766273716,0.0015376731957996,0.001613286937604,30
GMSC,4,25,2,inter_mean,0.0026044137540422,0.0023959458848165,0.0027953900711283,30
GMSC,5,50,1,gating_auc_std,0.7755459479929312,0.7755459479929312,0.7755459479929312,1
GMSC,5,50,1,gating_auc_classdiscrim,0.7746250807451248,0.7746250807451248,0.7746250807451248,1
GMSC,5,50,1,aurc,0.0247252490108297,0.0247252490108297,0.0247252490108297,1
GMSC,5,50,1,epi_mean,0.0012181080000449,0.0012181080000449,0.0012181080000449,1
GMSC,5,50,1,epi_cv,0.6102295577177087,0.6102295577177087,0.6102295577177087,1
GMSC,5,50,1,epi_pct_of_total,0.6005621229120165,0.6005621229120165,0.6005621229120165,1
GMSC,5,50,1,intra_mean,0.0,0.0,0.0,1
GMSC,5,50,1,inter_mean,0.0012181080000449,0.0012181080000449,0.0012181080000449,1
