Dataset,Model,Method,Variant,N,N_valid,rho_raw,p_raw,rho_partial,p_partial,rho_partial_linear,p_partial_linear,rho_aleatoric,p_aleatoric,shrinkage_pct,Degenerate,p_partial_FDR,Sig_partial_FDR,p_partial_linear_FDR,Sig_partial_linear_FDR
HOME CREDIT,M2,SHAP,prob,2000,2000,,,,,,,0.7664442626110657,0.0,,True,,False,,False
HOME CREDIT,M2,LIME,prob,2000,2000,,,,,,,0.6857030089257522,6.491897134003347e-278,,True,,False,,False
HOME CREDIT,M2,SHAP,logit,2000,2000,,,,,,,0.7432544803136201,0.0,,True,,False,,False
HOME CREDIT,M2,LIME,logit,2000,2000,,,,,,,0.6642752080688019,7.768084477159936e-255,,True,,False,,False
HOME CREDIT,M2,SHAP,norm,2000,1894,,,,,,,0.047139764164178956,0.04023640379814513,,True,,False,,False
HOME CREDIT,M2,LIME,norm,2000,1894,,,,,,,0.11097207436560638,1.2900025531356964e-06,,True,,False,,False
HOME CREDIT,M3,SHAP,prob,2000,2000,0.41254601213650305,4.9265904037392074e-83,-0.014832470208117551,0.509830056647784,-0.058903476862424926,0.00843295878019219,0.7660054450013611,0.0,96.40465068822195,False,0.7244953436573773,False,0.030358651608691882,True
HOME CREDIT,M3,LIME,prob,2000,2000,0.3932056403014101,6.102269882681808e-75,0.05500511725127931,0.018327224258580473,-0.007479175981305282,0.7382355858491054,0.686657300164325,5.470032395810626e-279,86.01110675596735,False,0.07326129385442948,False,0.8467524135099951,False
HOME CREDIT,M3,SHAP,logit,2000,2000,0.4201420875355219,2.31695375854564e-86,-0.002381216095304024,0.9133622125958014,-0.01768829503082542,0.4292860399768104,0.7424549606137401,0.0,99.43323552532625,False,0.967089401572025,False,0.6818072399631694,False
HOME CREDIT,M3,LIME,logit,2000,2000,0.407913131978283,4.789238748699019e-81,0.06425029006257252,0.004665111629456847,0.03752552440903474,0.09348106009663383,0.6649293312323328,1.6376593235391432e-255,84.24902631818357,False,0.025191602799066976,True,0.229453511146283,False
HOME CREDIT,M3,SHAP,norm,2000,1894,0.0397154133069755,0.0839954267511961,0.034190055716878144,0.1299566811062979,0.01307811986510171,0.5695872949918243,0.050480752781911116,0.028029142921767156,13.91237590149137,False,0.31898458089727666,False,0.8028052691996436,False
HOME CREDIT,M3,LIME,norm,2000,1894,0.08570674855482262,0.00018817997416570428,0.03858763931167883,0.09530156614461846,0.027125936506964512,0.23813962555881568,0.11084971158932022,1.3253347421939488e-06,54.977128449813826,False,0.24506117008616174,False,0.47627925111763136,False
