Dataset,Model,Method,rho_K10,rho_K21,rho_K31,rho_K42,rho_K52,rho_min,rho_max,range,rho_K2,rho_K5,rho_K7,rho_K9,rho_K12,rho_K1,rho_K3,rho_K4
HOME CREDIT,M2,SHAP,,,,,,,,,,,,,,,,
HOME CREDIT,M2,LIME,,,,,,,,,,,,,,,,
HOME CREDIT,M3,SHAP,0.4105034811258703,0.42974748393687096,0.41254601213650305,0.40223361905840477,0.4030631312657828,0.40223361905840477,0.42974748393687096,0.027513864878466188,,,,,,,,
HOME CREDIT,M3,LIME,0.4177468630032664,0.39670477367619345,0.3932056403014101,0.39266928216732055,0.3774160108540027,0.3774160108540027,0.4177468630032664,0.040330852149263685,,,,,,,,
HOME CREDIT,M4,SHAP,0.5046448156612039,0.5109852167463041,0.48614097696754716,0.4832050673012668,0.4857071594267898,0.4832050673012668,0.5109852167463041,0.027780149445037372,,,,,,,,
HOME CREDIT,M4,LIME,0.4816858435341047,0.48274370618592655,0.4699130539782635,0.4698410929602732,0.46752650688162667,0.46752650688162667,0.48274370618592655,0.015217199304299878,,,,,,,,
HOME CREDIT,M5,SHAP,0.4365665426416356,0.43520484380121094,0.4167588096897024,0.41559485230456117,0.4207966381991595,0.41559485230456117,0.4365665426416356,0.02097169033707441,,,,,,,,
HOME CREDIT,M5,LIME,0.415024741062528,0.4160949965237491,0.4230269227567306,0.41749468437367104,0.4085475781368946,0.4085475781368946,0.4230269227567306,0.014479344619836021,,,,,,,,
TAIWAN,M2,SHAP,,,,,,,,,,,,,,,,
TAIWAN,M2,LIME,,,,,,,,,,,,,,,,
TAIWAN,M3,SHAP,,,,,,0.0952221808055452,0.15400400967844685,0.05878182887290165,0.15400400967844685,0.12127956636537143,0.10290413272603319,0.10539974034993507,0.0952221808055452,,,
TAIWAN,M3,LIME,,,,,,0.07918748579687145,0.10182567876166522,0.022638192964793774,0.10182567876166522,0.08613613703403425,0.07918748579687145,0.0833419648354912,0.08609894752473687,,,
TAIWAN,M4,SHAP,,,,,,0.19781462477783665,0.2207011160908049,0.022886491312968243,0.21153932959218708,0.2207011160908049,0.211408802681479,0.20888693380006607,0.19781462477783665,,,
TAIWAN,M4,LIME,,,,,,0.1636412704716831,0.18561244031008609,0.021971169838403,0.18561244031008609,0.1665750589562304,0.1636412704716831,0.17327076888266876,0.17312649134654526,,,
TAIWAN,M5,SHAP,,,,,,0.19084289071072266,0.2164786394083446,0.025635748697621946,0.2164786394083446,0.21380210527122948,0.20686134521533633,0.20224547956136987,0.19084289071072266,,,
TAIWAN,M5,LIME,,,,,,0.1731836982959246,0.19104608696788278,0.01786238867195819,0.19104608696788278,0.18645786611446652,0.17649227462306866,0.1731836982959246,0.17531378132844533,,,
GMSC,M2,SHAP,,,,,,,,,,,,,,,,
GMSC,M2,LIME,,,,,,,,,,,,,,,,
GMSC,M3,SHAP,,,,,,0.6819901758871609,0.7233913660839352,0.04140119019677424,0.6819901758871609,0.7051305637826409,,,,0.7132129463932749,0.7233913660839352,0.711679286203581
GMSC,M3,LIME,,,,,,0.4229622323492562,0.6663337335834333,0.2433715012341771,0.45326400633700925,0.6663337335834333,,,,0.4229622323492562,0.6045604822909363,0.6372523137784118
GMSC,M4,SHAP,,,,,,0.6193785150591626,0.6295387819221725,0.01016026686300986,0.6275623985159613,0.6193785150591626,,,,0.6257647107547044,0.6295387819221725,0.6292198895128448
GMSC,M4,LIME,,,,,,0.3083700596028993,0.5596440405807432,0.2512739809778439,0.42061758372229735,0.5596440405807432,,,,0.3083700596028993,0.5124355739233681,0.5509289434213114
GMSC,M5,SHAP,,,,,,0.4863906735976683,0.5016318110688116,0.015241137471143307,0.495026126532827,0.4863906735976683,,,,0.4978300594190139,0.5016318110688116,0.49460873783766274
GMSC,M5,LIME,,,,,,0.2293047151861224,0.4407816141954035,0.21147689900928113,0.31334124167868166,0.4407816141954035,,,,0.2293047151861224,0.3925390011215195,0.41771986809826656
