Dataset,Model,Method,Component,USFG,CI95_low,CI95_high,CI_excludes_0,MannWhitney_p,rank_biserial,n_Q1,n_Q4,Degenerate,p_FDR,Sig_FDR
HOME CREDIT,M2,SHAP,epistemic,,,,False,,,2000,2000,True,,False
HOME CREDIT,M2,SHAP,aleatoric,-1.8742220136825931,-2.0002501045841155,-1.750559995798101,True,6.57178148252556e-142,0.9265680000000001,500,500,False,3.0981255560477636e-141,True
HOME CREDIT,M2,SHAP,intra,,,,False,,,2000,2000,True,,False
HOME CREDIT,M2,SHAP,inter,,,,False,,,2000,2000,True,,False
HOME CREDIT,M2,LIME,epistemic,,,,False,,,2000,2000,True,,False
HOME CREDIT,M2,LIME,aleatoric,-1.690792759494029,-1.8188226164340493,-1.5654653431758578,True,4.5742322430016076e-120,0.8511759999999999,500,500,False,1.118145659400393e-119,True
HOME CREDIT,M2,LIME,intra,,,,False,,,2000,2000,True,,False
HOME CREDIT,M2,LIME,inter,,,,False,,,2000,2000,True,,False
HOME CREDIT,M3,SHAP,epistemic,-0.873118342890915,-1.0036501690152604,-0.7480559900741427,True,1.015480750694517e-55,0.574496,500,500,False,1.634676330386296e-55,True
HOME CREDIT,M3,SHAP,aleatoric,-1.8804776547140147,-2.0124283761035224,-1.7690994175916286,True,2.820012585753961e-142,0.9277839999999999,500,500,False,1.4316986973827803e-141,True
HOME CREDIT,M3,SHAP,intra,-0.873118342890915,-1.0036501690152604,-0.7480559900741427,True,1.015480750694517e-55,0.574496,500,500,False,1.634676330386296e-55,True
HOME CREDIT,M3,SHAP,inter,,,,False,,,2000,2000,True,,False
HOME CREDIT,M3,LIME,epistemic,-0.8628745684484399,-0.9840176248037276,-0.7421006539528495,True,1.4052751079350302e-54,0.568384,500,500,False,2.1079126619025452e-54,True
HOME CREDIT,M3,LIME,aleatoric,-1.693673781750262,-1.8263412596048985,-1.5694373837637818,True,1.7694454480681166e-119,0.849056,500,500,False,4.1708356990177037e-119,True
HOME CREDIT,M3,LIME,intra,-0.8628745684484399,-0.9840176248037276,-0.7421006539528495,True,1.4052751079350302e-54,0.568384,500,500,False,2.1079126619025452e-54,True
HOME CREDIT,M3,LIME,inter,,,,False,,,2000,2000,True,,False
HOME CREDIT,M4,SHAP,epistemic,-1.0812762981560835,-1.1988809352178567,-0.9785747333908116,True,1.423549104961426e-77,0.6811119999999999,500,500,False,2.5393038088501113e-77,True
HOME CREDIT,M4,SHAP,aleatoric,-1.8936543128123513,-2.016975724341736,-1.7852728715402955,True,4.715546032631709e-146,0.940192,500,500,False,2.829327619579025e-145,True
HOME CREDIT,M4,SHAP,intra,,,,False,,,2000,2000,True,,False
HOME CREDIT,M4,SHAP,inter,-1.0812762981560835,-1.1988809352178567,-0.9785747333908116,True,1.423549104961426e-77,0.6811119999999999,500,500,False,2.5393038088501113e-77,True
