Dataset,Model,Method,Component,USFG_decileZ_NRC,CI95_low,CI95_high,CI_excludes_0,MannWhitney_p,rank_biserial,n_Q1,n_Q4,n_valid,Degenerate,p_FDR,Sig_FDR
HOME CREDIT,M2,SHAP,epistemic,,,,False,,,1894,1894,1894,True,,False
HOME CREDIT,M2,SHAP,aleatoric,-0.031129054108606814,-0.16277614522917988,0.10077079824518734,False,0.70540508995081,0.014189321511866027,474,474,1894,False,0.7389958085198961,False
HOME CREDIT,M2,SHAP,intra,,,,False,,,1894,1894,1894,True,,False
HOME CREDIT,M2,SHAP,inter,,,,False,,,1894,1894,1894,True,,False
HOME CREDIT,M2,LIME,epistemic,,,,False,,,1894,1894,1894,True,,False
HOME CREDIT,M2,LIME,aleatoric,-0.0442691182553564,-0.18263216499548673,0.0932872925986085,False,0.00015743506783814804,0.14180419804518507,474,474,1894,False,0.0004329464365549071,True
HOME CREDIT,M2,LIME,intra,,,,False,,,1894,1894,1894,True,,False
HOME CREDIT,M2,LIME,inter,,,,False,,,1894,1894,1894,True,,False
HOME CREDIT,M3,SHAP,epistemic,-0.061245584172419106,-0.20835418118224305,0.08566627832260386,False,0.3238668795393589,0.037022200858124577,474,474,1894,False,0.381700250885673,False
HOME CREDIT,M3,SHAP,aleatoric,-0.02497423812995802,-0.15550235345939398,0.09242562566559649,False,0.6398228617308654,0.017563068596556874,474,474,1894,False,0.6922673585940512,False
HOME CREDIT,M3,SHAP,intra,-0.061245584172419106,-0.20835418118224305,0.08566627832260386,False,0.3238668795393589,0.037022200858124577,474,474,1894,False,0.381700250885673,False
HOME CREDIT,M3,SHAP,inter,,,,False,,,1894,1894,1894,True,,False
HOME CREDIT,M3,LIME,epistemic,-0.08776143993772055,-0.21196107393935207,0.047326606911339913,False,0.0015079991347375457,0.11906923747974862,474,474,1894,False,0.003110248215396188,True
HOME CREDIT,M3,LIME,aleatoric,-0.04175232889016123,-0.17371194938414586,0.08419068883844119,False,0.00017068007956856502,0.1410475529206502,474,474,1894,False,0.00045059541006101165,True
HOME CREDIT,M3,LIME,intra,-0.08776143993772055,-0.21196107393935207,0.047326606911339913,False,0.0015079991347375457,0.11906923747974862,474,474,1894,False,0.003110248215396188,True
HOME CREDIT,M3,LIME,inter,,,,False,,,1894,1894,1894,True,,False
HOME CREDIT,M4,SHAP,epistemic,-0.03228671564252283,-0.176050636789731,0.10771588791076853,False,0.007365357177285294,0.10109519414805357,469,469,1875,False,0.013138204694617012,True
HOME CREDIT,M4,SHAP,aleatoric,0.011320176218140923,-0.10439285501735272,0.12523745125318095,False,2.478884612291799e-05,0.1590691077054569,469,469,1875,False,7.436653836875397e-05,True
HOME CREDIT,M4,SHAP,intra,,,,False,,,1875,1875,1875,True,,False
HOME CREDIT,M4,SHAP,inter,-0.03228671564252283,-0.176050636789731,0.10771588791076853,False,0.007365357177285294,0.10109519414805357,469,469,1875,False,0.013138204694617012,True
HOME CREDIT,M4,LIME,epistemic,-0.09808569698354723,-0.21529842008184022,0.0035875444692657836,False,2.2802892903275457e-05,0.15977832433931471,469,469,1875,False,7.166623483886572e-05,True
HOME CREDIT,M4,LIME,aleatoric,0.005115130711358218,-0.12833214073642688,0.13653665842013119,False,0.0022082259957681783,0.11546137724414784,469,469,1875,False,0.0044164519915363565,True
HOME CREDIT,M4,LIME,intra,,,,False,,,1875,1875,1875,True,,False
HOME CREDIT,M4,LIME,inter,-0.09808569698354723,-0.21529842008184022,0.0035875444692657836,False,2.2802892903275457e-05,0.15977832433931471,469,469,1875,False,7.166623483886572e-05,True
HOME CREDIT,M5,SHAP,epistemic,-0.040834664855962044,-0.18397315289954233,0.09225790772394188,False,0.0029103226870694316,0.11218650973291078,470,470,1880,False,0.005649449921958309,True
HOME CREDIT,M5,SHAP,aleatoric,0.03121892301908488,-0.10025474090450942,0.17201409272351315,False,0.09173248650907292,0.06354911724762335,470,470,1880,False,0.13454098021330696,False
HOME CREDIT,M5,SHAP,intra,0.03302014102763453,-0.1121021173530735,0.16810041166128417,False,0.003127199884733015,0.11135355364418287,470,470,1880,False,0.005897005496925114,True
HOME CREDIT,M5,SHAP,inter,-0.04413020322750135,-0.17448916510216989,0.07412394231427381,False,0.05640971053594777,0.07189678587596193,470,470,1880,False,0.08461456580392165,False
HOME CREDIT,M5,LIME,epistemic,0.036151535700213545,-0.09912668303300935,0.166529864727678,False,0.0011599131276085535,0.12241738343141695,470,470,1880,False,0.002551808880738818,True
HOME CREDIT,M5,LIME,aleatoric,0.012266667210642547,-0.1190270751733994,0.14212530292792566,False,4.574061641257029e-07,0.19004979628791308,470,470,1880,False,2.3222159101766456e-06,True
HOME CREDIT,M5,LIME,intra,-0.03412609238840948,-0.17794279608891667,0.10978854715065625,False,7.09104006674488e-05,0.1497238569488456,470,470,1880,False,0.00020348201930659221,True
HOME CREDIT,M5,LIME,inter,0.09520691950729665,-0.032844900928882995,0.23346755055896815,False,0.052959918204953535,0.07292892711634225,470,470,1880,False,0.08128731631457985,False
TAIWAN,M2,SHAP,epistemic,,,,False,,,1944,1944,1944,True,,False
